Region data,Center_X,Center_Y,BV0_X,BV0_Y,BV1_X,BV1_Y,BV2_X,BV2_Y,BV3_X,BV3_Y,BV4_X,BV4_Y,BV5_X,BV5_Y,BV6_X,BV6_Y,BV7_X,BV7_Y,,,,,,,,
,1679.543,-167.8297,1495.187,-75.17806,1626.429,-22.35487,1791.314,-82.53282,1882.698,-190.2563,1882.725,-261.4431,1740.44,-289.3623,1585.419,-263.447,1487.126,-263.5107,,,,,,,,
Zones data,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Center_X,Center_Y,BV0_X,BV0_Y,BV1_X,BV1_Y,BV2_X,BV2_Y,BV3_X,BV3_Y,BV4_X,BV4_Y,BV5_X,BV5_Y,BV6_X,BV6_Y,BV7_X,BV7_Y,Connection_1,Connection_2,Connection_3,Connection_4,Connection_5,Connection_6,Connection_7,Connection_8
R24_P0,-123.0974,-53.34006,1524.896,-241.3815,1532.098,-211.5528,1562.446,-200.2224,1589.935,-218.1183,1592.098,-256.0029,,,,,,,R24_P1,R24_P3,R24_P6,R24_P4,,,,,
R24_P1,-170.1738,-55.218,1486.63,-239.9901,1488.887,-205.4296,1532.098,-211.5528,1524.896,-241.3815,,,,,,,,,R23_P4,R24_P3,R24_P0,R24_P32,,,,,
R24_P3,-153.0216,-2.861938,1532.098,-211.5528,1488.887,-205.4296,1492.164,-139.1218,1537.919,-131.5479,1565.749,-162.7338,1562.446,-200.2224,,,,,R24_P1,R23_P5,R24_P7,R24_P9,R24_P6,R24_P0,,,
R24_P4,-53.67078,-55.57899,1592.098,-256.0029,1589.935,-218.1183,1627.409,-206.0278,1660.316,-224.995,1638.36,-244.7787,,,,,,,R24_P0,R24_P6,R24_P25,R24_P5,,,,,
R24_P5,-17.54114,-87.0103,1626.947,-270.1786,1638.36,-244.7787,1660.316,-224.995,1688.98,-253.9279,1672.525,-278.1924,,,,,,,,R24_P4,R24_P27,R24_P28,R26_P8,,,,
R24_P6,-86.76282,-22.17133,1562.446,-200.2224,1565.749,-162.7338,1613.156,-170.9285,1627.409,-206.0278,1589.935,-218.1183,,,,,,,R24_P3,R24_P9,R24_P25,R24_P4,R24_P0,,,,
R24_P7,-155.3855,69.05307,1492.164,-139.1218,1493.779,-75.95023,1535.332,-58.96782,1560.88,-94.39023,1537.919,-131.5479,,,,,,,R23_P26,,R24_P8,R24_P9,R24_P3,,,,
R24_P8,-59.41907,100.1721,1609.886,-108.9733,1560.88,-94.39023,1535.332,-58.96782,1624.589,-23.39261,1691.123,-47.77623,,,,,,,R24_P9,R24_P7,,,R24_P11,,,,
R24_P9,-101.0133,34.28221,1565.749,-162.7338,1537.919,-131.5479,1560.88,-94.39023,1609.886,-108.9733,1613.156,-170.9285,,,,,,,R24_P3,R24_P7,R24_P8,R24_P10,R24_P6,,,,
R24_P10,-32.12122,20.89853,1647.771,-180.0167,1613.156,-170.9285,1609.886,-108.9733,1670.807,-118.4913,1686.803,-158.8158,,,,,,,R24_P25,R24_P9,R24_P11,R24_P23,R24_P26,,,,
R24_P11,-6.631592,79.98932,1670.807,-118.4913,1609.886,-108.9733,1691.123,-47.77623,1706.718,-87.60674,,,,,,,,,R24_P10,R24_P8,R24_P12,R24_P23,,,,,
R24_P12,69.38721,72.46877,1740.048,-119.7198,1706.718,-87.60674,1691.123,-47.77623,1792.609,-84.38631,1785.943,-117.9037,,,,,,,R24_P23,R24_P11,,R24_P13,R24_P22,,,,
R24_P13,125.3878,51.2981,1785.943,-117.9037,1792.609,-84.38631,1834.931,-132.6773,1807.334,-138.2127,,,,,,,,,R24_P12,,R24_P14,R24_P22,,,,,
R24_P14,147.0077,7.624985,1801.657,-171.8986,1807.334,-138.2127,1834.931,-132.6773,1859.631,-162.8221,1833.835,-182.316,,,,,,,R24_P22,R24_P13,,R24_P33,R24_P19,,,,
R24_P15,180.7278,-41.51122,1849.22,-221.1472,1849.468,-197.6272,1872.956,-197.172,1882.314,-215.0814,,,,,,,,,R24_P19,R24_P33,,R24_P17,,,,,
R24_P17,182.7378,-69.09401,1871.075,-262.1604,1837.795,-243.2928,1849.22,-221.1472,1882.314,-215.0814,1882.659,-242.662,,,,,,,R24_P18,R24_P20,R24_P15,R25_P36,,,,,
R24_P18,153.4033,-90.2964,1817.016,-251.4431,1837.795,-243.2928,1871.075,-262.1604,1827.764,-271.0502,,,,,,,,,R24_P20,R24_P17,R26_P0,R24_P30,,,,,
R24_P19,146.7515,-32.18372,1849.22,-221.1472,1804.963,-207.6115,1801.657,-171.8986,1833.835,-182.316,1849.468,-197.6272,,,,,,,R24_P20,R24_P21,R24_P14,R24_P33,R24_P15,,,,
R24_P20,144.0273,-62.62003,1817.016,-251.4431,1795.146,-230.0014,1804.963,-207.6115,1849.22,-221.1472,1837.795,-243.2928,,,,,,,R24_P31,R24_P21,R24_P19,R24_P17,R24_P18,,,,
R24_P21,90.30212,-37.12682,1750.869,-231.1555,1722.039,-196.8058,1753.928,-167.2518,1801.657,-171.8986,1804.963,-207.6115,1795.146,-230.0014,,,,,R24_P27,R24_P24,R24_P22,R24_P19,R24_P20,R24_P31,,,
R24_P22,92.34705,21.80055,1753.928,-167.2518,1737.547,-149.0272,1740.048,-119.7198,1785.943,-117.9037,1807.334,-138.2127,1801.657,-171.8986,,,,,R24_P24,R24_P23,R24_P12,R24_P13,R24_P14,R24_P21,,,
R24_P23,25.32397,42.43598,1686.803,-158.8158,1670.807,-118.4913,1706.718,-87.60674,1740.048,-119.7198,1737.547,-149.0272,,,,,,,R24_P10,R24_P11,R24_P12,R24_P22,R24_P24,,,,
R24_P24,47.84241,-2.689804,1722.039,-196.8058,1686.803,-158.8158,1737.547,-149.0272,1753.928,-167.2518,,,,,,,,,R24_P26,R24_P23,R24_P22,R24_P21,,,,,
R24_P25,-38.72107,-31.70651,1627.409,-206.0278,1613.156,-170.9285,1647.771,-180.0167,1664.472,-199.1499,1660.316,-224.995,,,,,,,R24_P6,R24_P10,R24_P26,R24_P27,R24_P4,,,,
R24_P26,5.941284,-14.42979,1664.472,-199.1499,1647.771,-180.0167,1686.803,-158.8158,1722.039,-196.8058,,,,,,,,,R24_P25,R24_P10,R24_P24,R24_P27,,,,,
R24_P27,23.96606,-55.63988,1688.98,-253.9279,1660.316,-224.995,1664.472,-199.1499,1722.039,-196.8058,1750.869,-231.1555,1724.997,-252.3798,,,,,R24_P5,R24_P25,R24_P26,R24_P21,R24_P29,R24_P28,,,
R24_P28,26.30432,-101.0515,1672.525,-278.1924,1688.98,-253.9279,1724.997,-252.3798,1741.235,-288.2718,,,,,,,,,R24_P5,R24_P27,R24_P29,R26_P10,,,,,
R24_P29,69.58777,-98.30721,1741.235,-288.2718,1724.997,-252.3798,1750.869,-231.1555,1773.887,-258.1901,1773.146,-281.9203,,,,,,,R24_P28,R24_P27,R24_P31,R24_P30,R26_P9,,,,
R24_P30,118.9885,-98.45052,1773.146,-281.9203,1773.887,-258.1901,1817.016,-251.4431,1827.764,-271.0502,,,,,,,,,R24_P29,R24_P31,R24_P18,R26_P5,,,,,
R24_P31,104.887,-77.7187,1773.887,-258.1901,1750.869,-231.1555,1795.146,-230.0014,1817.016,-251.4431,,,,,,,,,R24_P29,R24_P21,R24_P20,R24_P30,,,,,
R24_P32,-177.0929,-79.37801,1493.442,-265.5945,1486.63,-239.9901,1524.896,-241.3815,1518.592,-262.4945,,,,,,,,,R23_P2,R24_P1,,,,,,,
R24_P33,178.2416,-15.15118,1849.468,-197.6272,1833.835,-182.316,1859.631,-162.8221,1882.876,-187.5751,1872.956,-197.172,,,,,,,R24_P19,R24_P14,,,R24_P15,,,,
